placa,ano,cor,modelo,marca,valor
NDQ6740,2023,LARANJA,standart,gm,144628.49
WHQ5414,2000,PRETO,standart,fiat,129763.93
OQQ5952,2009,AZUL,off road,vw,199740.16
QTZ0842,1992,VERDE,off road,gwm,118185.84
MZM4702,1995,VERDE,luxo,fiat,202683.83
PNR3919,2009,LARANJA,luxo,gm,242330.98
NYO6629,2025,LARANJA,off road,cherry,208122.68
TSU8406,1990,VERDE,off road,gm,104229.16
PFL0819,2006,AMARELO,off road,vw,205710.40
KYY5492,2015,LARANJA,off road,gm,151894.73
XDV5958,2001,PRETO,standart,gm,73695.79
LSZ0307,2007,LARANJA,luxo,gwm,139468.38
KKC5846,1997,VERMELHO,luxo,gwm,154864.11
PHV3173,2017,LARANJA,standart,ford,93240.26
HTX5616,2012,AZUL,luxo,gwm,167087.99
EFB5218,2007,LARANJA,luxo,ford,197450.85
TEL1390,2018,BRANCO,off road,gm,183619.28
CIF4754,1995,AZUL,luxo,ford,138291.67
FRA9250,2020,AMARELO,off road,gm,178275.77
IBS0469,2007,LARANJA,luxo,vw,235233.86
JBB4643,2015,VERDE,off road,fiat,105638.98
JBX1950,2004,BRANCO,off road,vw,134703.53
LEW2559,2024,LARANJA,luxo,ford,196581.92
XWP1823,2007,PRETO,off road,gm,109430.05
CBQ4239,2014,VERMELHO,luxo,fiat,182171.15
FFI9166,2001,VERDE,luxo,cherry,240515.36
WJG2873,2016,VERMELHO,standart,cherry,91413.94
MIN7557,2016,PRETO,luxo,vw,131558.73
OBX5647,2019,AZUL,standart,gwm,88497.57
HBM7912,2019,LARANJA,off road,ford,167186.46
BNL9206,2000,VERMELHO,standart,cherry,139028.67
IFR9760,1995,VERDE,luxo,ford,250134.57
JDY0609,2016,VERMELHO,off road,cherry,134052.22
HLW9142,2003,VERMELHO,standart,cherry,137267.94
FWA1196,2008,PRETO,off road,fiat,154279.90
IKT2778,1999,AMARELO,luxo,gm,146728.22
QAT9237,1997,VERMELHO,luxo,fiat,182170.77
DQD9330,2001,LARANJA,off road,ford,98241.27
HNU5558,2016,AMARELO,luxo,vw,143384.19
ZGS9823,2018,AZUL,standart,vw,100580.13
BIU6846,2007,VERDE,off road,gwm,165486.59
DBT9225,1997,PRETO,standart,gwm,149973.93
UYG5198,2021,AZUL,off road,vw,100830.11
ZNV1323,2009,VERDE,luxo,cherry,122548.06
GUH2416,1997,VERMELHO,off road,gwm,186915.30
ILU2058,2016,VERDE,off road,gwm,128618.72
KVG7635,2010,VERMELHO,luxo,gwm,189630.50
RER7503,2002,LARANJA,off road,gm,201975.65
OUQ1970,2013,BRANCO,off road,ford,114551.74
MRV5701,2012,VERDE,luxo,gwm,231871.74
JFA6914,2016,VERDE,off road,gm,206230.72
WLV5102,2001,LARANJA,standart,cherry,82905.08
ONV2970,2019,BRANCO,off road,cherry,112463.94
MYX3806,2016,AZUL,off road,gwm,128869.26
YHB8382,2018,PRETO,standart,gm,99369.15
AAG7834,2020,BRANCO,luxo,ford,125134.35
ESI4341,2002,BRANCO,off road,fiat,163605.21
ORC7850,1991,LARANJA,standart,ford,94316.31
LPL3433,2001,AMARELO,luxo,gm,165684.98
YUZ5081,2017,VERMELHO,luxo,vw,165918.22
WFW4446,2017,AZUL,luxo,gwm,141434.89
FKA4158,2001,BRANCO,luxo,fiat,254433.93
OII3210,2004,LARANJA,off road,ford,109817.22
IYJ8899,1999,BRANCO,luxo,gm,122024.86
XHU0483,2003,PRETO,luxo,fiat,170188.65
HKK9172,2002,AMARELO,standart,gwm,128570.18
OZI6823,2008,PRETO,off road,gwm,160788.33
GEZ8499,2008,VERMELHO,luxo,vw,247756.72
JCC1382,2014,AZUL,standart,cherry,104391.03
HZY4839,1997,PRETO,off road,gwm,153157.82
KIP3866,2016,VERMELHO,luxo,gwm,192457.53
MKD3844,2020,LARANJA,luxo,gm,131702.58
TXD4583,1999,BRANCO,off road,fiat,112648.38
KTS1540,2005,PRETO,standart,ford,135521.22
FAX6862,1994,LARANJA,off road,fiat,187898.75
FSL0291,2016,LARANJA,luxo,ford,240081.00
YTO1500,2007,PRETO,off road,cherry,159525.56
GTR5800,1990,LARANJA,luxo,cherry,222294.32
KKN6769,2016,VERMELHO,standart,gm,142941.71
VUZ6385,1999,AZUL,off road,cherry,161051.43
RAH9771,1996,BRANCO,luxo,cherry,240988.96
REJ7590,2013,AMARELO,off road,cherry,173298.64
CBQ0321,1996,LARANJA,off road,cherry,134177.06
VTY0543,2004,AMARELO,standart,cherry,112184.21
JGF1531,2001,LARANJA,luxo,fiat,124333.32
NKI8160,2019,VERMELHO,off road,gwm,195835.03
CNK2848,2000,PRETO,standart,gm,72115.60
JQT5809,2002,BRANCO,standart,gm,79848.32
FHV7208,2021,BRANCO,off road,gm,137539.69
VWV1675,1998,BRANCO,off road,ford,180591.27
CHP6449,2014,AZUL,luxo,vw,239315.00
LMS4541,1994,AZUL,luxo,gm,153022.94
MTT6014,2021,LARANJA,luxo,gwm,145728.96
MJO6798,2004,LARANJA,standart,gm,71716.51
QOT0746,2016,VERMELHO,luxo,ford,170918.99
MIZ6667,2024,VERMELHO,standart,fiat,131705.58
ELG8347,1996,VERDE,standart,fiat,77938.12
VJO8400,2013,AMARELO,luxo,fiat,238724.74
FUI5986,2000,AMARELO,standart,ford,138396.68
RJK1636,1998,PRETO,standart,fiat,140338.58
ZAZ0399,1994,VERMELHO,standart,fiat,142271.78
TSP3454,2008,VERDE,standart,vw,90536.52
HBK4946,2005,VERDE,luxo,ford,175932.13
LBR9877,1995,AZUL,luxo,fiat,253426.03
KGT4813,1997,BRANCO,standart,vw,109239.13
KJA6164,2018,VERDE,standart,vw,77305.57
NLA5173,2012,LARANJA,luxo,fiat,215395.18
WXG0619,2020,AZUL,off road,gm,110234.65
DFO1385,2009,PRETO,luxo,cherry,174866.08
MIH1697,1992,AMARELO,off road,ford,107095.74
ROI4138,2023,BRANCO,off road,gwm,129041.49
LIM7702,2002,AZUL,luxo,cherry,130877.85
YYD5689,2016,AZUL,standart,gm,126050.24
KFS7638,1997,PRETO,off road,vw,157619.42
PML9326,2009,AMARELO,luxo,fiat,247438.65
SAJ4936,1993,LARANJA,luxo,cherry,193852.84
FAR0341,1998,BRANCO,standart,fiat,103483.58
FPP6037,1998,VERDE,standart,gm,86093.10
RBC3349,1995,VERMELHO,off road,gm,174803.50
AEB5028,2014,VERMELHO,off road,gwm,197980.42
COQ3881,2011,BRANCO,off road,ford,205486.50
BSF1683,1992,BRANCO,luxo,vw,241456.45
ANW6688,1992,LARANJA,luxo,gwm,209498.69
OAN2801,2002,VERDE,luxo,vw,139276.62
ZAW4576,2007,LARANJA,standart,gwm,71442.75
MIX6743,1997,PRETO,standart,fiat,74322.70
CVM8725,2010,BRANCO,standart,gm,138965.25
MRU6390,2004,AZUL,off road,ford,116084.45
NZF4360,1996,VERDE,standart,vw,82476.30
VSJ9675,2023,PRETO,standart,ford,96424.63
JCL7867,2018,LARANJA,off road,fiat,135316.08
WJF4525,2010,PRETO,standart,vw,71885.42
NXL3298,1996,AMARELO,luxo,vw,161662.71
YKR5432,1999,AZUL,standart,gwm,146364.48
LKQ5036,2003,VERMELHO,off road,gwm,160169.48
PTF9474,1992,AZUL,off road,gwm,143350.48
UOW7280,2022,BRANCO,off road,vw,125297.44
TZV8075,2013,LARANJA,off road,cherry,132522.64
VEM8835,2006,PRETO,luxo,cherry,179252.48
JXO0419,2011,LARANJA,off road,ford,209938.79
KAN1095,2021,PRETO,luxo,ford,226457.08
YUZ5460,2006,VERMELHO,standart,cherry,146585.80
RVW3534,2019,VERDE,standart,gwm,118550.52
YGF6367,2010,VERDE,off road,ford,100423.21
YDZ0156,1992,VERMELHO,off road,vw,114658.68
YJF9091,2005,PRETO,luxo,vw,162540.26
PRM6603,2014,VERMELHO,standart,vw,80313.69
NLB6121,2016,VERDE,off road,fiat,140626.87
NTY0297,1998,LARANJA,luxo,vw,219767.37
BJM7947,2021,PRETO,off road,gwm,185768.69
KIN5949,2015,BRANCO,off road,cherry,172279.63
ILQ6051,1996,LARANJA,off road,vw,199059.15
YXG5559,1999,VERMELHO,off road,cherry,110560.19
PTT0513,2006,LARANJA,off road,ford,121148.39
FPI3605,1995,PRETO,luxo,vw,248161.07
KOB7701,2019,VERMELHO,off road,vw,180897.95
HAZ9826,2005,VERDE,off road,ford,134497.51
LZB4555,2015,LARANJA,off road,vw,143961.06
FPO1386,2000,VERMELHO,luxo,vw,242993.49
JXO8405,2021,LARANJA,standart,cherry,143282.50
ZGK1018,2019,BRANCO,luxo,cherry,209412.22
AYP6627,1992,PRETO,standart,cherry,105814.08
JCU0804,2011,VERDE,off road,fiat,138485.22
SIJ8862,2023,LARANJA,standart,cherry,131376.71
ILP0654,2017,AZUL,off road,gm,106124.94
QER9667,2009,VERMELHO,off road,cherry,116837.98
HXU3482,2021,BRANCO,standart,gwm,148136.06
QYU4092,2022,AMARELO,off road,fiat,203101.61
UPM8048,2021,AZUL,luxo,fiat,210538.82
SFF3816,1993,VERMELHO,off road,ford,193068.95
ZQD5593,2001,AZUL,standart,gwm,120358.03
NWQ1835,2018,PRETO,off road,vw,148841.13
SEG4822,2023,AMARELO,off road,fiat,197595.26
LZM5873,1991,VERDE,standart,gwm,105788.92
XPK5694,2003,BRANCO,luxo,fiat,166511.93
BCL9021,2024,VERMELHO,off road,ford,135150.54
ETR7477,2022,AMARELO,luxo,vw,139096.48
SYW5631,2017,VERMELHO,off road,gwm,137556.26
MJP9047,2025,VERMELHO,standart,cherry,84709.22
HAX5042,2012,BRANCO,luxo,vw,140582.62
UDS9045,2016,VERMELHO,luxo,cherry,242103.69
XLG3572,1991,PRETO,off road,cherry,138106.90
QES7448,2004,PRETO,standart,ford,148587.79
YIR1103,1999,VERMELHO,off road,fiat,102148.34
XNG5473,1998,PRETO,standart,ford,130581.76
WVK5477,1999,VERMELHO,off road,vw,204406.34
ELV5954,1998,BRANCO,off road,fiat,173367.44
VUM7305,2017,VERDE,luxo,vw,163872.57
ZLF4118,1996,AZUL,luxo,ford,214821.62
RGN0426,2016,AMARELO,luxo,ford,247344.43
CSV7323,2006,BRANCO,standart,gm,144217.49
IFS0873,2015,AMARELO,off road,vw,175158.29
KEF5649,2025,PRETO,luxo,vw,151191.88
DCE7050,2006,PRETO,standart,gm,142332.49
ZPY7387,1994,PRETO,off road,gwm,122391.41
KXU3624,2022,VERMELHO,standart,vw,144107.82
JEO3347,1992,AMARELO,luxo,gm,223865.54
PUE4241,2011,BRANCO,luxo,gwm,226962.17
YMC1195,1996,AMARELO,standart,gwm,81752.69
HYQ0929,1994,VERMELHO,standart,cherry,102969.95
WWO2366,2011,VERDE,standart,ford,80733.65
UAD4491,1996,AZUL,luxo,vw,224728.63
LVB4053,2001,LARANJA,standart,cherry,119801.89
BBF2099,2008,PRETO,off road,gwm,189626.71
LVR6454,2008,AZUL,standart,vw,86700.84
ATM4824,2016,PRETO,luxo,vw,140161.53
MNC9960,1992,AZUL,off road,fiat,195653.68
EHE8542,2019,PRETO,standart,vw,86904.31
DEQ1762,1995,AZUL,standart,gwm,116853.82
CUE0328,2008,AMARELO,standart,gwm,147305.73
BUF9155,2019,BRANCO,standart,cherry,113487.67
ZEC4531,1990,BRANCO,standart,vw,126373.62
YUR6698,1997,VERMELHO,standart,fiat,74504.52
WXA3166,1993,LARANJA,off road,vw,197704.53
OIG2006,2001,LARANJA,standart,vw,81710.84
ABJ9959,2000,PRETO,off road,cherry,110677.34
AKA6393,2015,PRETO,standart,fiat,74804.68
KJN0655,2008,PRETO,luxo,fiat,217914.08
KKW1766,2014,LARANJA,standart,gwm,139790.91
EIX1950,1998,BRANCO,off road,gm,135427.28
YCY6906,2007,PRETO,standart,vw,130844.84
WNE9794,2025,LARANJA,standart,vw,139829.89
UND5656,2005,AZUL,standart,vw,104057.56
CXN7985,2008,BRANCO,standart,cherry,107744.55
TLX2749,1997,BRANCO,luxo,vw,155094.16
HLZ6495,2023,LARANJA,luxo,vw,243158.82
HDA4002,2013,PRETO,luxo,cherry,232549.82
YCL6601,2015,VERDE,off road,vw,104650.90
VPJ0209,2010,AZUL,luxo,fiat,204144.74
RYE7873,2012,LARANJA,luxo,gwm,211934.86
EQZ0847,2003,VERDE,off road,gm,138861.16
BJU4275,2024,VERMELHO,luxo,vw,132150.42
GWB5736,2008,BRANCO,standart,gm,122656.90
WEE7909,2019,BRANCO,luxo,gwm,240234.54
VLU3721,2025,BRANCO,standart,fiat,115006.87
RMY7388,2015,VERMELHO,luxo,vw,121137.19
SYK1239,1996,AZUL,standart,gwm,94547.89
QJM7434,2005,VERMELHO,standart,fiat,124813.33
FRR2270,2006,AZUL,off road,vw,117346.28
UJD4068,2004,LARANJA,luxo,fiat,134553.59
QEH4853,2018,VERDE,off road,ford,125657.34
LPE3632,2006,AZUL,standart,gwm,99789.47
DLV0013,2019,PRETO,standart,vw,81016.22
EZC1837,2010,BRANCO,luxo,ford,181043.36
JNS5417,2004,PRETO,off road,ford,171576.88
HPZ8123,1990,AMARELO,off road,gwm,192183.22
VLJ6792,1990,VERMELHO,luxo,ford,141126.54
BAF6746,2002,AZUL,off road,cherry,178989.79
NGF4318,2023,AMARELO,standart,vw,120486.83
QDP4496,2017,BRANCO,off road,gm,110431.87
NOJ7489,1990,VERDE,off road,fiat,139216.95
UXF8018,2012,LARANJA,standart,gwm,72295.30
MJI3760,2024,VERMELHO,off road,cherry,154666.95
BNG2452,2005,AZUL,luxo,vw,236141.30
NGA3119,2001,VERDE,standart,vw,100153.85
UNH7196,1998,BRANCO,standart,gm,90113.49
ZQB0062,2023,LARANJA,off road,vw,150348.34
YBK0769,1991,BRANCO,luxo,gwm,216104.45
OSW4920,2025,VERDE,standart,gwm,133503.94
NTH5091,2006,PRETO,standart,gm,72431.72
OCK8344,2007,LARANJA,standart,fiat,84101.22
UMO4995,2018,VERMELHO,off road,cherry,158011.64
MZE0806,2023,VERMELHO,off road,vw,144445.24
QTN6817,1995,LARANJA,standart,ford,84390.26
AMJ1311,1992,AZUL,off road,gwm,188108.27
ZNL5284,2022,BRANCO,off road,gm,100158.13
HQA3235,1994,VERMELHO,standart,gwm,124538.64
WFQ3941,2024,LARANJA,standart,vw,143996.07
IRK3898,1991,AZUL,luxo,fiat,228889.83
ULX0261,1993,PRETO,luxo,ford,165532.90
BTK8511,1992,VERDE,off road,fiat,192391.54
CQX1790,2023,LARANJA,standart,vw,72974.60
TDO6909,1992,PRETO,off road,fiat,207494.92
SUB5094,2025,AMARELO,luxo,gm,224040.66
IMP6742,2007,VERMELHO,standart,gwm,70733.36
PSA5582,2011,AMARELO,luxo,vw,208371.12
SOC6001,2023,AMARELO,luxo,ford,228957.45
JCH7850,2007,BRANCO,luxo,cherry,211875.98
TJM5964,2009,VERDE,off road,gwm,189526.30
EIC5770,2002,LARANJA,standart,fiat,96394.94
YGY5920,2010,AZUL,off road,vw,98456.88
PVG3734,2005,BRANCO,standart,gwm,115785.85
IRT7091,2023,LARANJA,standart,fiat,125435.34
TBZ5463,1999,VERMELHO,standart,fiat,114036.53
IGL5335,2020,AMARELO,off road,vw,209142.90
IAY2689,2017,BRANCO,luxo,ford,166099.80
GXS4769,2002,VERMELHO,standart,gwm,133600.17
EMB6428,2005,VERMELHO,luxo,vw,243670.64
BPS7332,2013,VERMELHO,off road,fiat,173270.81
JBN5826,1991,PRETO,luxo,gwm,161096.28
QGZ0957,2017,BRANCO,off road,vw,161449.87
UTO1956,2005,PRETO,off road,gm,190134.50
TFA9896,2015,LARANJA,off road,gm,123608.78
WXJ0791,1999,PRETO,off road,cherry,102392.30
FPG0800,2016,PRETO,standart,fiat,107216.95
MNK9163,2016,VERDE,luxo,fiat,185136.43
DCR4548,1998,VERDE,luxo,fiat,222788.78
RXZ2378,2000,BRANCO,luxo,vw,196267.64
JKG9397,1999,AMARELO,standart,cherry,138749.10
ZID7261,2022,LARANJA,standart,cherry,70344.07
YWW9405,2016,VERMELHO,luxo,ford,209016.12
QFZ3259,2005,VERDE,off road,vw,108047.99
PZY6219,1991,BRANCO,luxo,vw,156763.60
CPS6796,2019,PRETO,off road,ford,103673.92
NWG3322,2001,VERMELHO,off road,ford,109247.56
LHB3178,1991,VERMELHO,off road,vw,178182.74
HOQ9663,1991,PRETO,off road,gm,118442.92
IZV9176,2006,AZUL,standart,gwm,133679.08
XRP5650,2015,VERMELHO,off road,fiat,190132.14
NUX8507,2024,PRETO,standart,cherry,123383.68
VYK9908,2000,LARANJA,standart,ford,85902.98
NRE4726,1996,AMARELO,standart,ford,118976.40
FYV9599,2007,AMARELO,standart,gwm,99076.11
LYH6467,2013,BRANCO,standart,vw,122317.74
IUT2077,2017,VERMELHO,off road,vw,128715.74
PKY7052,2024,VERMELHO,luxo,vw,139196.19
JVL8207,1998,VERDE,off road,cherry,119795.03
ZQJ2919,2001,VERMELHO,luxo,gwm,135039.60
ANL3711,2015,VERMELHO,luxo,vw,196929.66
FPY6768,2014,PRETO,off road,cherry,144597.98
FIN3264,1993,PRETO,luxo,ford,236182.70
RGM7618,2011,VERDE,off road,fiat,148310.04
HUG7281,1990,VERDE,standart,fiat,70766.34
HYX3550,2011,VERMELHO,off road,cherry,165419.50
JDI4193,2009,AZUL,off road,gm,104128.87
AAK3629,1999,AZUL,luxo,gwm,154624.98
NVB0381,2021,VERDE,luxo,fiat,148791.09
RDC6625,2023,BRANCO,off road,cherry,148081.81
OEI0662,2014,AMARELO,luxo,ford,215187.44
TBQ8965,2021,LARANJA,off road,gwm,134056.84
CUE8174,1997,AZUL,standart,vw,104229.45
ZTW4246,1994,AMARELO,standart,gwm,83486.31
VHN3874,1995,AZUL,standart,gwm,122159.86
FRT6154,2024,PRETO,standart,gm,130173.27
HNO6114,2018,AZUL,luxo,vw,137989.09
PCP0286,2005,VERMELHO,luxo,gwm,130224.15
ZFC8076,2004,AZUL,luxo,gwm,129831.00
HKX4220,2008,AMARELO,luxo,vw,215779.88
QDK5671,2024,AMARELO,standart,ford,132562.99
TGS5946,2002,LARANJA,off road,ford,130969.39
BXG0028,2007,AMARELO,luxo,fiat,124743.36
NNG7119,2008,VERMELHO,off road,vw,192100.54
UFM7391,2023,AMARELO,luxo,vw,183427.34
DBW8702,2023,AZUL,off road,fiat,104574.50
GOX9212,2023,PRETO,luxo,gwm,189969.70
GQT9653,2004,BRANCO,luxo,cherry,172444.88
GIX6061,2012,VERMELHO,off road,ford,194718.83
MHO3121,2011,AMARELO,luxo,fiat,212148.46
ARH0265,1995,VERDE,off road,fiat,114198.04
XWD2952,2008,BRANCO,off road,fiat,114603.39
ISA6455,2017,VERMELHO,standart,fiat,115624.49
CYI6089,2021,BRANCO,off road,fiat,116435.17
EVO7041,2003,AZUL,luxo,vw,181735.59
IDD1919,2002,LARANJA,luxo,vw,236714.41
WWV8356,1999,VERDE,standart,ford,78563.27
VIB2192,2002,PRETO,luxo,gm,123131.40
QUE9988,2013,PRETO,standart,ford,136944.16
BDH7333,1999,VERDE,standart,fiat,93557.84
FPG0061,2011,VERDE,off road,gm,132966.65
PNH3267,2015,AZUL,standart,ford,95598.72
YYF3813,2025,VERDE,off road,fiat,142330.71
MVH2743,2019,BRANCO,standart,fiat,109123.36
IAU1086,2008,PRETO,off road,ford,123568.68
JBO3263,2012,AZUL,luxo,fiat,243425.54
PJK3512,2014,VERDE,off road,gm,115315.18
ENQ4932,1991,LARANJA,standart,vw,107527.35
SOC5620,2002,LARANJA,off road,gm,105767.98
WQY1348,2005,VERMELHO,luxo,gm,248143.49
FMH9779,1998,PRETO,luxo,fiat,178335.95
PUS5005,2022,BRANCO,luxo,gwm,130875.52
TBB1470,2010,BRANCO,luxo,fiat,173378.55
FPW5316,2012,VERMELHO,standart,gm,105640.74
CEI5551,2005,BRANCO,off road,gm,200265.95
CLF0372,2004,AZUL,off road,vw,132640.08
ZIS0269,2011,AMARELO,standart,gwm,142807.60
YZV0627,2024,VERDE,off road,gwm,189069.91
CET1541,2021,VERDE,standart,fiat,81810.43
QNX8606,2016,AMARELO,off road,gwm,209279.34
HRG2965,2015,PRETO,luxo,gwm,148614.57
MUK6294,1992,VERMELHO,off road,gm,141211.86
GEF0531,2023,VERDE,luxo,vw,161865.93
OET5443,1999,VERMELHO,standart,gm,123629.60
HIY6235,1991,AMARELO,standart,fiat,145955.85
FIK9925,2009,BRANCO,luxo,gwm,214385.50
FKU8870,2012,AZUL,luxo,vw,238563.94
MVT9658,2021,PRETO,luxo,vw,222271.62
WZX6631,2001,PRETO,luxo,gm,250059.30
TVX2266,1995,BRANCO,luxo,gwm,231807.09
HJR7536,1992,PRETO,luxo,fiat,168546.85
JEB8143,1995,AMARELO,luxo,fiat,138163.17
IPW7009,2013,VERMELHO,standart,vw,147072.49
AOW0513,2008,AMARELO,off road,vw,171733.23
GWY9089,2003,AMARELO,luxo,vw,122540.22
OPF1439,2024,AZUL,luxo,cherry,119031.32
GGZ6965,2011,BRANCO,luxo,gwm,243576.01
NKB3512,1995,VERMELHO,luxo,gwm,214013.04
HOV8143,2006,AMARELO,off road,cherry,114510.93
ISB8280,2006,VERMELHO,off road,vw,142737.57
XJX4929,1991,AMARELO,luxo,vw,207128.68
YUD3295,2006,AZUL,standart,gm,121191.70
QMG1311,2006,AMARELO,off road,ford,200270.68
ANS2603,2022,VERMELHO,luxo,gm,132672.95
SIH3124,2013,PRETO,standart,ford,127130.42
QAN6118,1996,PRETO,luxo,vw,200968.70
CGI0571,2025,VERDE,standart,cherry,94391.57
FGH9611,2024,LARANJA,off road,vw,183178.52
FHV3822,2000,BRANCO,luxo,cherry,139693.26
AJH0739,2015,AZUL,standart,gwm,131506.18
VRD0908,2019,VERMELHO,off road,gwm,125163.67
EXH6317,2014,LARANJA,luxo,gwm,221001.33
XTF3412,1994,BRANCO,off road,cherry,101315.34
NWV4411,1998,PRETO,luxo,fiat,233559.34
DIB1919,1997,LARANJA,luxo,gm,153502.05
SUI1448,1993,AMARELO,standart,gm,110608.94
VBX6538,1990,VERMELHO,luxo,ford,222785.31
DKC2325,2015,PRETO,off road,vw,164810.46
WFO0625,2000,AZUL,off road,vw,131188.71
TBI8564,2020,LARANJA,off road,ford,157913.81
IUZ8488,2020,VERMELHO,luxo,gm,125544.44
EKC4524,2010,VERDE,luxo,gwm,199765.43
VFQ7252,2022,AZUL,standart,ford,148406.47
PYJ5164,2018,AMARELO,luxo,ford,236043.89
FZJ6248,2008,VERDE,standart,vw,139885.95
NGY3020,2012,AZUL,standart,ford,72522.43
FJS9866,2000,AMARELO,off road,cherry,135629.25
YGV0429,2020,BRANCO,off road,gm,104326.99
BWM9348,2007,VERMELHO,luxo,gm,189222.48
KYO8817,2008,AZUL,luxo,fiat,195078.55
WOF1175,2010,AZUL,luxo,cherry,182711.41
BYL6710,1992,VERMELHO,standart,cherry,124050.99
ANC7754,2008,BRANCO,off road,vw,166212.42
GNI7261,2009,VERDE,standart,ford,137604.01
NFX3217,2022,VERMELHO,luxo,cherry,239994.38
VZS6072,2007,VERDE,off road,ford,131462.50
WGK0169,2000,VERMELHO,standart,fiat,98584.24
VKD3648,2009,AZUL,off road,gwm,167197.24
KBI1248,2008,VERMELHO,standart,ford,76611.85
MRG0517,2011,PRETO,luxo,gm,149547.75
YCE0578,2010,PRETO,off road,cherry,181419.08
ZLN6160,1999,VERMELHO,standart,gwm,143083.35
LLK8464,2002,LARANJA,off road,gwm,195337.22
LYW9234,2025,VERDE,luxo,ford,148849.26
